temperatura_ambiente,madurez_promedio,dias_cosecha,vida_util_estimada,riesgo_deterioro,prioridad_venta
10,1,0,12,BAJO,BAJA
12,1,1,11,BAJO,BAJA
14,1,2,10,BAJO,BAJA
16,1,3,9,BAJO,BAJA
18,1,4,8,BAJO,BAJA
20,1,5,7,MEDIO,MEDIA
22,1,6,6,MEDIO,MEDIA
24,1,7,5,MEDIO,MEDIA
26,1,8,4,MEDIO,MEDIA
28,1,9,3,ALTO,ALTA
10,2,0,10,BAJO,BAJA
12,2,1,9,BAJO,BAJA
14,2,2,8,BAJO,BAJA
16,2,3,7,BAJO,BAJA
18,2,4,6,MEDIO,MEDIA
20,2,5,5,MEDIO,MEDIA
22,2,6,4,MEDIO,MEDIA
24,2,7,3,MEDIO,MEDIA
26,2,8,2,ALTO,ALTA
28,2,9,1,ALTO,ALTA
10,3,0,8,BAJO,BAJA
12,3,1,7,BAJO,BAJA
14,3,2,6,MEDIO,MEDIA
16,3,3,5,MEDIO,MEDIA
18,3,4,4,MEDIO,MEDIA
20,3,5,3,MEDIO,MEDIA
22,3,6,2,ALTO,ALTA
24,3,7,2,ALTO,ALTA
26,3,8,1,ALTO,ALTA
28,3,9,0,ALTO,ALTA
10,4,0,5,MEDIO,MEDIA
12,4,1,5,MEDIO,MEDIA
14,4,2,4,MEDIO,MEDIA
16,4,3,3,MEDIO,MEDIA
18,4,4,2,ALTO,ALTA
20,4,5,2,ALTO,ALTA
22,4,6,1,ALTO,ALTA
24,4,7,1,ALTO,ALTA
26,4,8,0,ALTO,ALTA
28,4,9,0,ALTO,ALTA
10,5,0,3,MEDIO,MEDIA
12,5,1,3,MEDIO,MEDIA
14,5,2,2,ALTO,ALTA
16,5,3,2,ALTO,ALTA
18,5,4,1,ALTO,ALTA
20,5,5,1,ALTO,ALTA
22,5,6,0,ALTO,ALTA
24,5,7,0,ALTO,ALTA
26,5,8,0,ALTO,ALTA
28,5,9,0,ALTO,ALTA
